column_1,value,name,club,nation,position,age,link
379,"€8.00m","Alexis Vega","Deportivo Guadalajara",Mexico,"Left Winger",25,https://fminside.net/players/3-fm-23/51054788-alexis-vega
380,"€8.00m",Brenner,"FC Cincinnati",Brazil,Centre-Forward,22,https://fminside.net/players/3-fm-23/19302917-brenner
381,"€8.00m","Adam Ounas","LOSC Lille",Algeria,"Right Winger",26,https://fminside.net/players/3-fm-23/48034668-adam-ounas
382,"€8.00m","Róger Guedes","Sport Club Corinthians Paulista",Brazil,Centre-Forward,26,https://fminside.net/players/3-fm-23/19192947-roger-guedes
383,"€8.00m","Stephy Mavididi","Montpellier HSC",England,"Left Winger",24,https://fminside.net/players/3-fm-23/28099981-stephy-mavididi
384,"€8.00m","Lucas Boyé","Elche CF",Argentina,Centre-Forward,26,https://fminside.net/players/3-fm-23/14110829-lucas-boye
385,"€8.00m","Maximiliano Meza","CF Monterrey",Argentina,"Right Winger",30,https://fminside.net/players/3-fm-23/14061320-maximiliano-meza
386,"€8.00m",Wanderson,"Sport Club Internacional",Brazil,"Right Winger",28,https://fminside.net/players/3-fm-23/18073840-wanderson
387,"€8.00m","Federico Bernardeschi","Toronto FC",Italy,"Right Winger",28,https://fminside.net/players/3-fm-23/43093476-federico-bernardeschi
388,"€8.00m","Samu Castillejo","Valencia CF",Spain,"Right Winger",27,https://fminside.net/players/3-fm-23/67142868-samu-castillejo
389,"€8.00m","Anwar El Ghazi","PSV Eindhoven",Netherlands,"Right Winger",27,https://fminside.net/players/3-fm-23/37041913-anwar-el-ghazi
390,"€8.00m","Moi Gómez","CA Osasuna",Spain,"Left Winger",28,https://fminside.net/players/3-fm-23/67142544-moi-gomez
391,"€8.00m","Paco Alcácer","Sharjah FC",Spain,Centre-Forward,29,https://fminside.net/players/3-fm-23/67115584-paco-alcacer
392,"€8.00m","Michael Gregoritsch","SC Freiburg",Austria,Centre-Forward,28,https://fminside.net/players/3-fm-23/16045723-michael-gregoritsch
393,"€8.00m","Rachid Ghezzal","Besiktas JK",Algeria,"Right Winger",30,https://fminside.net/players/3-fm-23/85031826-rachid-ghezzal
394,"€8.00m","Marko Livaja","HNK Hajduk Split",Croatia,Centre-Forward,29,https://fminside.net/players/3-fm-23/24012760-marko-livaja
395,"€8.00m","Danny Welbeck","Brighton & Hove Albion",England,Centre-Forward,32,https://fminside.net/players/3-fm-23/28010491-danny-welbeck
396,"€7.50m","Yusuf Demir",Galatasaray,Austria,"Right Winger",19,https://fminside.net/players/3-fm-23/16283659-yusuf-demir
397,"€7.50m","Chidera Ejuke","Hertha BSC",Nigeria,"Left Winger",25,https://fminside.net/players/3-fm-23/13182752-chidera-ejuke
398,"€7.50m","Rodrigo Riquelme","Girona FC",Spain,"Right Winger",22,https://fminside.net/players/3-fm-23/67259880-rodrigo-riquelme
399,"€7.50m","Maxi Gómez",Trabzonspor,Uruguay,Centre-Forward,26,N/A
400,"€7.50m","Riccardo Orsolini","Bologna FC 1909",Italy,"Right Winger",25,https://fminside.net/players/3-fm-23/43162321-riccardo-orsolini
401,"€7.50m","Isi Palazón","Rayo Vallecano",Spain,"Right Winger",28,https://fminside.net/players/3-fm-23/67173045-isi-palazon
402,"€7.50m","Georgios Masouras","Olympiacos Piraeus",Greece,"Left Winger",29,N/A
403,"€7.50m","Vangelis Pavlidis","AZ Alkmaar",Greece,Centre-Forward,24,https://fminside.net/players/3-fm-23/91151156-vangelis-pavlidis
404,"€7.50m","Josip Brekalo","VfL Wolfsburg",Croatia,"Left Winger",24,https://fminside.net/players/3-fm-23/24046837-josip-brekalo
405,"€7.50m","Nicolás Ibáñez","CF Pachuca",Argentina,Centre-Forward,28,https://fminside.net/players/3-fm-23/14164743-nicolas-ibanez
406,"€7.50m","Tarik Tissoudali","KAA Gent",Morocco,Centre-Forward,29,https://fminside.net/players/3-fm-23/37052200-tarik-tissoudali
407,"€7.50m","Eden Hazard","Real Madrid",Belgium,"Left Winger",31,https://fminside.net/players/3-fm-23/18004418-eden-hazard
408,"€7.00m","David Datro Fofana","Chelsea FC","Cote d'Ivoire",Centre-Forward,20,N/A
409,"€7.00m","Abdallah Sima","Angers SCO",Senegal,"Right Winger",21,https://fminside.net/players/3-fm-23/2000052135-abdallah-sima
410,"€7.00m","Matheus Nascimento","Botafogo de Futebol e Regatas",Brazil,Centre-Forward,18,https://fminside.net/players/3-fm-23/19404650-matheus-nascimento
411,"€7.00m","Samuel Edozie","Southampton FC",England,"Left Winger",19,https://fminside.net/players/3-fm-23/28126246-samuel-edozie
412,"€7.00m",Wesley,"Cruzeiro Esporte Clube",Brazil,"Left Winger",23,https://fminside.net/players/3-fm-23/49037900-wesley-fofana
413,"€7.00m","Matheus Martins","Watford FC",Brazil,"Left Winger",19,https://fminside.net/players/3-fm-23/19400560-matheus-martins
414,"€7.00m","Daryl Dike","West Bromwich Albion","United States",Centre-Forward,22,https://fminside.net/players/3-fm-23/72056133-daryl-dike
415,"€7.00m","Rodri Sánchez","Real Betis Balompié",Spain,"Left Winger",22,N/A
416,"€7.00m","Nathan Ngoumou","Borussia Mönchengladbach",France,"Right Winger",22,https://fminside.net/players/3-fm-23/49037694-nathan-ngoumou
417,"€7.00m","Tiago Tomás","VfB Stuttgart",Portugal,Centre-Forward,20,https://fminside.net/players/3-fm-23/83261927-tiago-tomas
418,"€7.00m","Liam Delap","Stoke City",England,Centre-Forward,19,https://fminside.net/players/3-fm-23/28126247-liam-delap
419,"€7.00m","Hugo Duro","Valencia CF",Spain,Centre-Forward,23,https://fminside.net/players/3-fm-23/67274349-hugo-duro
420,"€7.00m","Lassina Traoré","Shakhtar Donetsk","Burkina Faso",Centre-Forward,21,https://fminside.net/players/3-fm-23/13196622-lassina-traore
421,"€7.00m","Amad Diallo","Sunderland AFC","Cote d'Ivoire","Right Winger",20,https://fminside.net/players/3-fm-23/43425040-amad-diallo
422,"€7.00m","Konstantin Tyukavin","Dynamo Moscow",Russia,Centre-Forward,20,https://fminside.net/players/3-fm-23/58153778-konstantin-tyukavin
423,"€7.00m","Liel Abada","Celtic FC",Israel,"Right Winger",21,https://fminside.net/players/3-fm-23/42102601-liel-abada
424,"€7.00m","Sergio Camello","Rayo Vallecano",Spain,Centre-Forward,21,https://fminside.net/players/3-fm-23/67272502-sergio-camello
425,"€7.00m","Esequiel Barco","CA River Plate",Argentina,"Left Winger",23,https://fminside.net/players/3-fm-23/14181052-esequiel-barco
426,"€7.00m","Christos Tzolis","Twente Enschede FC",Greece,"Left Winger",20,https://fminside.net/players/3-fm-23/36152916-christos-tzolis
427,"€7.00m",Paulinho,"Bayer 04 Leverkusen",Brazil,"Left Winger",22,https://fminside.net/players/3-fm-23/19003703-paulinho
428,"€7.00m","Javi Puado","RCD Espanyol Barcelona",Spain,"Left Winger",24,https://fminside.net/players/3-fm-23/67222737-javi-puado
429,"€7.00m","Brandon Vazquez","FC Cincinnati","United States",Centre-Forward,24,https://fminside.net/players/3-fm-23/51055587-brandon-vazquez
430,"€7.00m","Eldor Shomurodov","AS Roma",Uzbekistan,Centre-Forward,27,https://fminside.net/players/3-fm-23/59061760-eldor-shomurodov
431,"€7.00m","Shamar Nicholson","Spartak Moscow",Jamaica,Centre-Forward,25,https://fminside.net/players/3-fm-23/81037383-shamar-nicholson
432,"€7.00m","Simon Banza","SC Braga",France,Centre-Forward,26,https://fminside.net/players/3-fm-23/29132973-simon-banza
433,"€7.00m","Abel Ruiz","SC Braga",Spain,Centre-Forward,22,https://fminside.net/players/3-fm-23/67245418-abel-ruiz
434,"€7.00m","Reiss Nelson","Arsenal FC",England,"Right Winger",23,https://fminside.net/players/3-fm-23/28107919-reiss-nelson
435,"€7.00m","Yeferson Soteldo","Santos FC",Venezuela,"Left Winger",25,https://fminside.net/players/3-fm-23/86040729-yeferson-soteldo
436,"€7.00m","Toni Martínez","FC Porto",Spain,Centre-Forward,25,https://fminside.net/players/3-fm-23/67216151-toni-martinez
437,"€7.00m","Milot Rashica",Galatasaray,Kosovo,"Right Winger",26,https://fminside.net/players/3-fm-23/11024791-milot-rashica
438,"€7.00m","Adam Buksa","RC Lens",Poland,Centre-Forward,26,https://fminside.net/players/3-fm-23/96055358-adam-buksa
439,"€7.00m","Cristian Arango","Los Angeles FC",Colombia,Centre-Forward,27,https://fminside.net/players/3-fm-23/76035677-cristian-arango
440,"€7.00m","Antonio Sanabria","Torino FC",Paraguay,Centre-Forward,26,https://fminside.net/players/3-fm-23/67181404-antonio-sanabria
441,"€7.00m","Nicolás López","Tigres UANL",Uruguay,Centre-Forward,29,https://fminside.net/players/3-fm-23/14206238-nicolas-lopez
442,"€7.00m","Adnan Januzaj","Sevilla FC",Belgium,"Right Winger",27,https://fminside.net/players/3-fm-23/18054092-adnan-januzaj
443,"€7.00m","Viktor Claesson","FC Copenhagen",Sweden,"Left Winger",31,https://fminside.net/players/3-fm-23/93014195-viktor-claesson
444,"€7.00m",Suso,"Sevilla FC",Spain,"Right Winger",29,https://fminside.net/players/3-fm-23/67085965-suso
445,"€7.00m","Joshua King",Fenerbahce,Norway,Centre-Forward,30,https://fminside.net/players/3-fm-23/53020695-joshua-king
446,"€7.00m","Iago Aspas","Celta de Vigo",Spain,Centre-Forward,35,https://fminside.net/players/3-fm-23/67010455-iago-aspas
447,"€7.00m","Dusan Tadić","Ajax Amsterdam",Serbia,"Left Winger",34,https://fminside.net/players/3-fm-23/5788648-duan-tadic
448,"€6.50m","Pablo Solari","CA River Plate",Argentina,"Right Winger",21,https://fminside.net/players/3-fm-23/14201600-pablo-solari
449,"€6.50m","Exequiel Zeballos","CA Boca Juniors",Argentina,"Left Winger",20,https://fminside.net/players/3-fm-23/14239273-exequiel-zeballos
450,"€6.50m","Dion Drena Beljo","NK Osijek",Croatia,Centre-Forward,20,https://fminside.net/players/3-fm-23/24061498-dion-drena-beljo
451,"€6.50m","Francis Amuzu","RSC Anderlecht",Belgium,"Left Winger",23,https://fminside.net/players/3-fm-23/18101803-francis-amuzu
452,"€6.50m","Dániel Sallói","Sporting Kansas City",Hungary,"Left Winger",26,https://fminside.net/players/3-fm-23/38041412-daniel-salloi
453,"€6.00m","Luca Langoni","CA Boca Juniors",Argentina,"Right Winger",20,https://fminside.net/players/3-fm-23/14252407-luca-langoni
454,"€6.00m",Sávio,"PSV Eindhoven",Brazil,"Right Winger",18,https://fminside.net/players/3-fm-23/13161974-saviour-godwin
455,"€6.00m","Luis Henrique","Botafogo de Futebol e Regatas",Brazil,"Left Winger",21,https://fminside.net/players/3-fm-23/19403484-luis-henrique
456,"€6.00m",Ferreira,"Grêmio Foot-Ball Porto Alegrense",Brazil,"Left Winger",25,https://fminside.net/players/3-fm-23/79029963-sebastian-ferreira
457,"€6.00m","Santiago Simón","CA River Plate",Argentina,"Right Winger",20,https://fminside.net/players/3-fm-23/14223204-santiago-simon
458,"€6.00m","Simon Adingra","Royale Union Saint Gilloise","Cote d'Ivoire","Left Winger",21,https://fminside.net/players/3-fm-23/2000018781-simon-adingra
459,"€6.00m","Igor Paixão","Feyenoord Rotterdam",Brazil,"Left Winger",22,https://fminside.net/players/3-fm-23/19383256-igor-paixao
460,"€6.00m","Jhon Durán","Chicago Fire FC",Colombia,Centre-Forward,19,https://fminside.net/players/3-fm-23/76063258-jhon-duran
461,"€6.00m","Ander Barrenetxea","Real Sociedad",Spain,"Left Winger",21,https://fminside.net/players/3-fm-23/67276482-ander-barrenetxea
462,"€6.00m",Lázaro,"UD Almería",Brazil,"Left Winger",20,https://fminside.net/players/3-fm-23/16067510-valentino-lazaro
463,"€6.00m","Mohamed Daramy","FC Copenhagen",Denmark,"Left Winger",20,https://fminside.net/players/3-fm-23/27148020-mohamed-daramy
464,"€6.00m","Lorenzo Lucca","Ajax Amsterdam",Italy,Centre-Forward,22,https://fminside.net/players/3-fm-23/43409366-lorenzo-lucca
465,"€6.00m","Nico Melamed","RCD Espanyol Barcelona",Spain,"Left Winger",21,https://fminside.net/players/3-fm-23/67277676-nico-melamed
466,"€6.00m","Kamal Sowah","Club Brugge KV",Ghana,"Right Winger",22,https://fminside.net/players/3-fm-23/13183090-kamal-sowah
467,"€6.00m","Santiago Giménez","Feyenoord Rotterdam",Mexico,Centre-Forward,21,https://fminside.net/players/3-fm-23/51067947-santiago-gimenez
468,"€6.00m","Jackson Muleka","Besiktas JK","DR Congo",Centre-Forward,23,https://fminside.net/players/3-fm-23/13187384-jackson-muleka
469,"€6.00m","Pedro Raul","Club de Regatas Vasco da Gama",Brazil,Centre-Forward,26,https://fminside.net/players/3-fm-23/83212491-pedro-raul
470,"€6.00m","Walid Cheddira","SSC Bari",Morocco,Centre-Forward,24,https://fminside.net/players/3-fm-23/43391696-walid-cheddira
471,"€6.00m","Enzo Copetti","Racing Club",Argentina,Centre-Forward,26,https://fminside.net/players/3-fm-23/14157122-enzo-copetti
472,"€6.00m","Sebastián Villa","CA Boca Juniors",Colombia,"Left Winger",26,https://fminside.net/players/3-fm-23/76040980-sebastian-villa
473,"€6.00m","Kyogo Furuhashi","Celtic FC",Japan,Centre-Forward,27,https://fminside.net/players/3-fm-23/45105555-kyogo-furuhashi
474,"€6.00m","Mostafa Mohamed","FC Nantes",Egypt,Centre-Forward,25,https://fminside.net/players/3-fm-23/13231887-mostafa-mohamed
475,"€6.00m","Junior Messias","AC Milan",Brazil,"Right Winger",31,https://fminside.net/players/3-fm-23/43315178-junior-messias
476,"€6.00m","Omar Marmoush","VfL Wolfsburg",Egypt,"Left Winger",23,https://fminside.net/players/3-fm-23/91205962-omar-marmoush
477,"€6.00m","Luiz Araújo","Atlanta United FC",Brazil,"Right Winger",26,https://fminside.net/players/3-fm-23/19215572-luiz-araujo
478,"€6.00m","Julián Quiñones","Atlas Guadalajara",Colombia,Centre-Forward,25,https://fminside.net/players/3-fm-23/51056626-julian-quinones
479,"€6.00m","Diego Valoyes","Club Atlético Talleres",Colombia,"Right Winger",26,https://fminside.net/players/3-fm-23/76042820-diego-valoyes
480,"€6.00m",Helinho,"Red Bull Bragantino",Brazil,"Right Winger",22,https://fminside.net/players/3-fm-23/19302916-helinho
481,"€6.00m","Sekou Koita","Red Bull Salzburg",Mali,Centre-Forward,23,https://fminside.net/players/3-fm-23/13157142-sekou-koita
482,"€6.00m","Óscar Estupiñán","Hull City",Colombia,Centre-Forward,26,https://fminside.net/players/3-fm-23/76040881-oscar-estupinan
483,"€6.00m","Henry Onyekuru","Adana Demirspor",Nigeria,"Left Winger",25,https://fminside.net/players/3-fm-23/18093594-henry-onyekuru
484,"€6.00m","Matías Vargas","Shanghai Port",Argentina,"Left Winger",25,https://fminside.net/players/3-fm-23/14141967-matias-vargas
485,"€6.00m","Joël Piroe","Swansea City",Netherlands,Centre-Forward,23,https://fminside.net/players/3-fm-23/37054408-joel-piroe
486,"€6.00m","Jesús Medina","CSKA Moscow",Paraguay,"Right Winger",25,https://fminside.net/players/3-fm-23/79024135-jesus-medina
487,"€6.00m","Rubén Vargas","FC Augsburg",Switzerland,"Left Winger",24,https://fminside.net/players/3-fm-23/98041215-ruben-vargas
488,"€6.00m","Jens Odgaard","AZ Alkmaar",Denmark,Centre-Forward,23,https://fminside.net/players/3-fm-23/27119480-jens-odgaard
489,"€6.00m","Cyle Larin","Club Brugge KV",Canada,Centre-Forward,27,https://fminside.net/players/3-fm-23/72044151-cyle-larin
490,"€6.00m","Grady Diangana","West Bromwich Albion",England,"Right Winger",24,https://fminside.net/players/3-fm-23/28101028-grady-diangana
491,"€6.00m","Deniz Undav","Brighton & Hove Albion",Germany,Centre-Forward,26,https://fminside.net/players/3-fm-23/91157307-deniz-undav
492,"€6.00m","Mama Baldé","ESTAC Troyes",Guinea-Bissau,Centre-Forward,27,https://fminside.net/players/3-fm-23/55070279-mama-balde
493,"€6.00m","Cyriel Dessers","US Cremonese",Nigeria,Centre-Forward,28,https://fminside.net/players/3-fm-23/18083867-cyriel-dessers
494,"€6.00m","Myrto Uzuni","Granada CF",Albania,"Left Winger",27,https://fminside.net/players/3-fm-23/11024744-myrto-uzuni
495,"€6.00m","Javairô Dilrosun","Feyenoord Rotterdam",Netherlands,"Left Winger",24,https://fminside.net/players/3-fm-23/37049339-javairo-dilrosun
496,"€6.00m","Chris Willock","Queens Park Rangers",England,"Left Winger",24,https://fminside.net/players/3-fm-23/28099973-chris-willock
497,"€6.00m","Karlan Grant","West Bromwich Albion",England,Centre-Forward,25,https://fminside.net/players/3-fm-23/29120253-karlan-grant
498,"€6.00m","Lewis Morgan","New York Red Bulls",Scotland,"Left Winger",26,https://fminside.net/players/3-fm-23/211387-lewis-morgan
499,"€6.00m","Mergim Berisha","FC Augsburg",Germany,Centre-Forward,24,https://fminside.net/players/3-fm-23/16170434-mergim-berisha
500,"€110.00m","Jude Bellingham","Borussia Dortmund",England,"Central Midfield",19,https://fminside.net/players/3-fm-23/29232937-jude-bellingham
501,"€110.00m","Phil Foden","Manchester City",England,"Central Midfield",22,https://fminside.net/players/3-fm-23/28108494-phil-foden
502,"€100.00m",Pedri,"FC Barcelona",Spain,"Central Midfield",20,https://fminside.net/players/3-fm-23/67293495-pedri
503,"€100.00m","Jamal Musiala","Bayern Munich",Germany,"Attacking Midfield",19,https://fminside.net/players/3-fm-23/28124579-jamal-musiala
504,"€100.00m","Bukayo Saka","Arsenal FC",England,"Right Midfield",21,https://fminside.net/players/3-fm-23/28122642-bukayo-saka
505,"€100.00m","Federico Valverde","Real Madrid",Uruguay,"Central Midfield",24,https://fminside.net/players/3-fm-23/78074594-federico-valverde
506,"€90.00m",Gavi,"FC Barcelona",Spain,"Central Midfield",18,https://fminside.net/players/3-fm-23/2000049413-gavi
507,"€90.00m","Aurélien Tchouameni","Real Madrid",France,"Defensive Midfield",22,https://fminside.net/players/3-fm-23/48042326-aurelien-tchouameni
508,"€80.00m","Declan Rice","West Ham United",England,"Defensive Midfield",23,https://fminside.net/players/3-fm-23/28106491-declan-rice
509,"€80.00m",Rodri,"Manchester City",Spain,"Defensive Midfield",26,https://fminside.net/players/3-fm-23/67217524-rodri
510,"€80.00m","Bernardo Silva","Manchester City",Portugal,"Attacking Midfield",28,https://fminside.net/players/3-fm-23/55041632-bernardo-silva
511,"€80.00m","Joshua Kimmich","Bayern Munich",Germany,"Defensive Midfield",27,https://fminside.net/players/3-fm-23/92039023-joshua-kimmich
512,"€80.00m","Kevin De Bruyne","Manchester City",Belgium,"Attacking Midfield",31,https://fminside.net/players/3-fm-23/18004457-kevin-de-bruyne
513,"€75.00m","Mason Mount","Chelsea FC",England,"Attacking Midfield",23,https://fminside.net/players/3-fm-23/28103590-mason-mount
514,"€75.00m","Bruno Fernandes","Manchester United",Portugal,"Attacking Midfield",28,https://fminside.net/players/3-fm-23/43124203-bruno-fernandes
515,"€70.00m","Florian Wirtz","Bayer 04 Leverkusen",Germany,"Attacking Midfield",19,https://fminside.net/players/3-fm-23/91193048-florian-wirtz
516,"€70.00m","Kai Havertz","Chelsea FC",Germany,"Attacking Midfield",23,https://fminside.net/players/3-fm-23/91151081-kai-havertz
517,"€70.00m","Nicolò Barella","Inter Milan",Italy,"Central Midfield",25,https://fminside.net/players/3-fm-23/43139595-nicolo-barella
518,"€65.00m","Leon Goretzka","Bayern Munich",Germany,"Central Midfield",27,https://fminside.net/players/3-fm-23/91104807-leon-goretzka
519,"€60.00m","Bruno Guimarães","Newcastle United",Brazil,"Defensive Midfield",25,https://fminside.net/players/3-fm-23/19297055-bruno-guimaraes
520,"€60.00m","Martin Ødegaard","Arsenal FC",Norway,"Attacking Midfield",24,https://fminside.net/players/3-fm-23/53095137-martin-degaard
521,"€60.00m","Sergej Milinković-Savić","SS Lazio",Serbia,"Central Midfield",27,https://fminside.net/players/3-fm-23/62127037-sergej-milinkovic-savic
522,"€55.00m","Enzo Fernández","SL Benfica",Argentina,"Central Midfield",21,https://fminside.net/players/3-fm-23/14229525-enzo-fernandez
523,"€55.00m","James Maddison","Leicester City",England,"Attacking Midfield",26,https://fminside.net/players/3-fm-23/28093567-james-maddison
524,"€55.00m",Fabinho,"Liverpool FC",Brazil,"Defensive Midfield",29,https://fminside.net/players/3-fm-23/19183676-fabinho
525,"€50.00m","Eduardo Camavinga","Real Madrid",France,"Central Midfield",20,https://fminside.net/players/3-fm-23/49056243-eduardo-camavinga
526,"€50.00m","Sandro Tonali","AC Milan",Italy,"Defensive Midfield",22,https://fminside.net/players/3-fm-23/43298481-sandro-tonali
527,"€50.00m","Mikel Merino","Real Sociedad",Spain,"Central Midfield",26,https://fminside.net/players/3-fm-23/67211760-mikel-merino
528,"€50.00m","Frenkie de Jong","FC Barcelona",Netherlands,"Central Midfield",25,https://fminside.net/players/3-fm-23/37047745-frenkie-de-jong
529,"€50.00m","Marco Verratti","Paris Saint-Germain",Italy,"Central Midfield",30,https://fminside.net/players/3-fm-23/43026579-marco-verratti
530,"€50.00m",Casemiro,"Manchester United",Brazil,"Defensive Midfield",30,https://fminside.net/players/3-fm-23/19061518-casemiro
531,"€45.00m","Matheus Nunes","Wolverhampton Wanderers",Portugal,"Central Midfield",24,https://fminside.net/players/3-fm-23/83188780-matheus-nunes
532,"€45.00m",Vitinha,"Paris Saint-Germain",Portugal,"Central Midfield",22,https://fminside.net/players/3-fm-23/83174762-vitinha
533,"€45.00m","Lucas Paquetá","West Ham United",Brazil,"Attacking Midfield",25,https://fminside.net/players/3-fm-23/19226741-lucas-paqueta
534,"€45.00m","Kalvin Phillips","Manchester City",England,"Defensive Midfield",27,https://fminside.net/players/3-fm-23/29113879-kalvin-phillips
535,"€45.00m","Fabián Ruiz","Paris Saint-Germain",Spain,"Central Midfield",26,https://fminside.net/players/3-fm-23/2000143623-fabian-ruiz
536,"€45.00m","Lorenzo Pellegrini","AS Roma",Italy,"Attacking Midfield",26,https://fminside.net/players/3-fm-23/43094100-lorenzo-pellegrini
537,"€45.00m","Tomas Soucek","West Ham United","Czech Republic","Defensive Midfield",27,https://fminside.net/players/3-fm-23/25041687-toma-soucek
538,"€45.00m","Pierre-Emile Höjbjerg","Tottenham Hotspur",Denmark,"Central Midfield",27,N/A
539,"€42.00m","Alexis Mac Allister","Brighton & Hove Albion",Argentina,"Central Midfield",24,https://fminside.net/players/3-fm-23/14157184-alexis-mac-allister
540,"€40.00m","Martín Zubimendi","Real Sociedad",Spain,"Defensive Midfield",23,https://fminside.net/players/3-fm-23/67246385-martin-zubimendi
541,"€40.00m","Rodrigo Bentancur","Tottenham Hotspur",Uruguay,"Central Midfield",25,https://fminside.net/players/3-fm-23/14094572-rodrigo-bentancur
542,"€40.00m","Ismaël Bennacer","AC Milan",Algeria,"Defensive Midfield",25,https://fminside.net/players/3-fm-23/48032338-ismael-bennacer
543,"€40.00m","Dani Olmo","RB Leipzig",Spain,"Attacking Midfield",24,https://fminside.net/players/3-fm-23/24048100-dani-olmo
544,"€40.00m","Wilfred Ndidi","Leicester City",Nigeria,"Defensive Midfield",26,https://fminside.net/players/3-fm-23/18091791-wilfred-ndidi
545,"€40.00m","Rodrigo de Paul","Atlético de Madrid",Argentina,"Central Midfield",28,https://fminside.net/players/3-fm-23/14048343-rodrigo-de-paul
546,"€40.00m","Youri Tielemans","Leicester City",Belgium,"Central Midfield",25,https://fminside.net/players/3-fm-23/18077264-youri-tielemans
547,"€40.00m","Rúben Neves","Wolverhampton Wanderers",Portugal,"Defensive Midfield",25,https://fminside.net/players/3-fm-23/55070307-ruben-neves
548,"€40.00m","Nabil Fekir","Real Betis Balompié",France,"Attacking Midfield",29,https://fminside.net/players/3-fm-23/29114975-nabil-fekir
549,"€40.00m","Piotr Zielinski","SSC Napoli",Poland,"Attacking Midfield",28,https://fminside.net/players/3-fm-23/43093171-piotr-zieliski
550,"€40.00m","Mateo Kovacic","Chelsea FC",Croatia,"Central Midfield",28,https://fminside.net/players/3-fm-23/24016925-mateo-kovacic
551,"€38.00m","Moisés Caicedo","Brighton & Hove Albion",Ecuador,"Central Midfield",21,https://fminside.net/players/3-fm-23/86078360-moises-caicedo
552,"€38.00m","Emile Smith Rowe","Arsenal FC",England,"Attacking Midfield",22,https://fminside.net/players/3-fm-23/28109599-emile-smith-rowe
553,"€38.00m","Frank Anguissa","SSC Napoli",Cameroon,"Defensive Midfield",27,N/A
554,"€38.00m","Thomas Partey","Arsenal FC",Ghana,"Defensive Midfield",29,https://fminside.net/players/3-fm-23/67175052-thomas-partey
555,"€35.00m","Harvey Elliott","Liverpool FC",England,"Attacking Midfield",19,https://fminside.net/players/3-fm-23/29233143-harvey-elliott
556,"€35.00m","Giovanni Reyna","Borussia Dortmund","United States","Attacking Midfield",20,https://fminside.net/players/3-fm-23/72051281-giovanni-reyna
557,"€35.00m","Amadou Onana","Everton FC",Belgium,"Defensive Midfield",21,https://fminside.net/players/3-fm-23/91207274-amadou-onana
558,"€35.00m","Dominik Szoboszlai","RB Leipzig",Hungary,"Attacking Midfield",22,https://fminside.net/players/3-fm-23/16202373-dominik-szoboszlai
559,"€35.00m","Douglas Luiz","Aston Villa",Brazil,"Defensive Midfield",24,https://fminside.net/players/3-fm-23/19302456-douglas-luiz
560,"€35.00m","Edson Álvarez","Ajax Amsterdam",Mexico,"Defensive Midfield",25,https://fminside.net/players/3-fm-23/51054011-edson-alvarez
561,"€35.00m","Ibrahim Sangaré","PSV Eindhoven","Cote d'Ivoire","Defensive Midfield",25,https://fminside.net/players/3-fm-23/48042717-ibrahim-sangare
562,"€35.00m","Carlos Soler","Paris Saint-Germain",Spain,"Central Midfield",26,https://fminside.net/players/3-fm-23/67196204-carlos-soler
563,"€35.00m","Franck Kessié","FC Barcelona","Cote d'Ivoire","Central Midfield",26,https://fminside.net/players/3-fm-23/13136664-franck-kessie
564,"€35.00m","Marcos Llorente","Atlético de Madrid",Spain,"Central Midfield",27,https://fminside.net/players/3-fm-23/67196198-marcos-llorente
565,"€35.00m","James Ward-Prowse","Southampton FC",England,"Central Midfield",28,https://fminside.net/players/3-fm-23/29076100-james-ward-prowse
566,"€35.00m","Marcelo Brozovic","Inter Milan",Croatia,"Defensive Midfield",30,https://fminside.net/players/3-fm-23/24016529-marcelo-brozovic
567,"€35.00m","Hakan Calhanoglu","Inter Milan",Turkey,"Central Midfield",28,https://fminside.net/players/3-fm-23/92026209-hakan-calhanolu
568,"€35.00m","Paul Pogba","Juventus FC",France,"Central Midfield",29,https://fminside.net/players/3-fm-23/85028014-paul-pogba
569,"€35.00m",Jorginho,"Chelsea FC",Italy,"Defensive Midfield",31,https://fminside.net/players/3-fm-23/43036641-jorginho
570,"€32.00m","Conor Gallagher","Chelsea FC",England,"Central Midfield",22,https://fminside.net/players/3-fm-23/28108036-conor-gallagher
571,"€32.00m","Yves Bissouma","Tottenham Hotspur",Mali,"Central Midfield",26,https://fminside.net/players/3-fm-23/13174979-yves-bissouma
572,"€32.00m","Harvey Barnes","Leicester City",England,"Left Midfield",25,https://fminside.net/players/3-fm-23/28100207-harvey-barnes
573,"€32.00m",Joelinton,"Newcastle United",Brazil,"Attacking Midfield",26,https://fminside.net/players/3-fm-23/19184436-joelinton
574,"€30.00m","Cheick Doucouré","Crystal Palace",Mali,"Defensive Midfield",22,https://fminside.net/players/3-fm-23/13194021-cheick-doucoure
575,"€30.00m","Fábio Vieira","Arsenal FC",Portugal,"Attacking Midfield",22,https://fminside.net/players/3-fm-23/83174759-fabio-vieira
576,"€30.00m","Eberechi Eze","Crystal Palace",England,"Attacking Midfield",24,N/A
577,"€30.00m","Ryan Gravenberch","Bayern Munich",Netherlands,"Central Midfield",20,https://fminside.net/players/3-fm-23/37071197-ryan-gravenberch
578,"€30.00m","Charles De Ketelaere","AC Milan",Belgium,"Attacking Midfield",21,https://fminside.net/players/3-fm-23/18110528-charles-de-ketelaere
