column_1,value,name,club,nation,position,age
343,"€9.00m","Michael Olunga","Al-Duhail SC",Kenya,Centre-Forward,28
344,"€9.00m","Franck Honorat","Stade Brestois 29",France,"Right Winger",26
345,"€9.00m","Lucas Vázquez","Real Madrid",Spain,"Right Winger",31
346,"€9.00m","Gianluca Caprari","AC Monza",Italy,"Second Striker",29
347,"€9.00m",Rodrigo,"Leeds United",Spain,"Second Striker",31
348,"€9.00m","João Pedro",Fenerbahce,Italy,Centre-Forward,30
349,"€9.00m","Willian José","Real Betis Balompié",Brazil,Centre-Forward,31
350,"€9.00m","Emil Forsberg","RB Leipzig",Sweden,"Left Winger",31
351,"€9.00m","Michail Antonio","West Ham United",Jamaica,Centre-Forward,32
352,"€9.00m","Thorgan Hazard","Borussia Dortmund",Belgium,"Left Winger",29
353,"€9.00m","Andrej Kramaric","TSG 1899 Hoffenheim",Croatia,Centre-Forward,31
354,"€9.00m","Marko Arnautovic","Bologna FC 1909",Austria,Centre-Forward,33
355,"€8.50m","Agustín Álvarez","US Sassuolo",Uruguay,Centre-Forward,21
356,"€8.50m",Michael,"Al-Hilal Saudi FC",Brazil,"Left Winger",26
357,"€8.50m","Kaoru Mitoma","Brighton & Hove Albion",Japan,"Left Winger",25
358,"€8.50m","Gabriel Strefezza","US Lecce",Brazil,"Right Winger",25
359,"€8.50m","Yunus Akgün",Galatasaray,Turkey,"Right Winger",22
360,"€8.50m","Fedor Chalov","CSKA Moscow",Russia,Centre-Forward,24
361,"€8.50m","Irfan Can Kahveci",Fenerbahce,Turkey,"Right Winger",27
362,"€8.00m","José Manuel López","Sociedade Esportiva Palmeiras",Argentina,Centre-Forward,22
363,"€8.00m","Bamba Dieng","Olympique Marseille",Senegal,Centre-Forward,22
364,"€8.00m","Abde Ezzalzouli","CA Osasuna",Morocco,"Left Winger",21
365,"€8.00m","Jamie Bynoe-Gittens","Borussia Dortmund",England,"Right Winger",18
366,"€8.00m","Alan Velasco","FC Dallas",Argentina,"Left Winger",20
367,"€8.00m","Martín Satriano","FC Empoli",Uruguay,Centre-Forward,21
368,"€8.00m","Mateo Retegui","Club Atlético Tigre",Argentina,Centre-Forward,23
369,"€8.00m","Cameron Archer","Aston Villa",England,Centre-Forward,21
370,"€8.00m","Patrick Wimmer","VfL Wolfsburg",Austria,"Right Winger",21
371,"€8.00m","Joe Gelhardt","Leeds United",England,Centre-Forward,20
372,"€8.00m","Francisco Conceição","Ajax Amsterdam",Portugal,"Right Winger",20
373,"€8.00m","Jesús Ferreira","FC Dallas","United States",Centre-Forward,22
374,"€8.00m","Facundo Torres","Orlando City SC",Uruguay,"Left Winger",22
375,"€8.00m","Jorge de Frutos","Levante UD",Spain,"Right Winger",25
376,"€8.00m","Junior Adamu","Red Bull Salzburg",Austria,Centre-Forward,21
377,"€8.00m","Martín Ojeda","CD Godoy Cruz Antonio Tomba",Argentina,"Left Winger",24
378,"€8.00m","Aaron Boupendza","Al-Shabab Club (Riyadh)",Gabon,Centre-Forward,26
379,"€8.00m","Alexis Vega","Deportivo Guadalajara",Mexico,"Left Winger",25
380,"€8.00m",Brenner,"FC Cincinnati",Brazil,Centre-Forward,22
381,"€8.00m","Adam Ounas","LOSC Lille",Algeria,"Right Winger",26
382,"€8.00m","Róger Guedes","Sport Club Corinthians Paulista",Brazil,Centre-Forward,26
383,"€8.00m","Stephy Mavididi","Montpellier HSC",England,"Left Winger",24
384,"€8.00m","Lucas Boyé","Elche CF",Argentina,Centre-Forward,26
385,"€8.00m","Maximiliano Meza","CF Monterrey",Argentina,"Right Winger",30
386,"€8.00m",Wanderson,"Sport Club Internacional",Brazil,"Right Winger",28
387,"€8.00m","Federico Bernardeschi","Toronto FC",Italy,"Right Winger",28
388,"€8.00m","Samu Castillejo","Valencia CF",Spain,"Right Winger",27
389,"€8.00m","Anwar El Ghazi","PSV Eindhoven",Netherlands,"Right Winger",27
390,"€8.00m","Moi Gómez","CA Osasuna",Spain,"Left Winger",28
391,"€8.00m","Paco Alcácer","Sharjah FC",Spain,Centre-Forward,29
392,"€8.00m","Michael Gregoritsch","SC Freiburg",Austria,Centre-Forward,28
393,"€8.00m","Rachid Ghezzal","Besiktas JK",Algeria,"Right Winger",30
394,"€8.00m","Marko Livaja","HNK Hajduk Split",Croatia,Centre-Forward,29
395,"€8.00m","Danny Welbeck","Brighton & Hove Albion",England,Centre-Forward,32
396,"€7.50m","Yusuf Demir",Galatasaray,Austria,"Right Winger",19
397,"€7.50m","Chidera Ejuke","Hertha BSC",Nigeria,"Left Winger",25
398,"€7.50m","Rodrigo Riquelme","Girona FC",Spain,"Right Winger",22
399,"€7.50m","Maxi Gómez",Trabzonspor,Uruguay,Centre-Forward,26
400,"€7.50m","Riccardo Orsolini","Bologna FC 1909",Italy,"Right Winger",25
401,"€7.50m","Isi Palazón","Rayo Vallecano",Spain,"Right Winger",28
402,"€7.50m","Georgios Masouras","Olympiacos Piraeus",Greece,"Left Winger",29
403,"€7.50m","Vangelis Pavlidis","AZ Alkmaar",Greece,Centre-Forward,24
404,"€7.50m","Josip Brekalo","VfL Wolfsburg",Croatia,"Left Winger",24
405,"€7.50m","Nicolás Ibáñez","CF Pachuca",Argentina,Centre-Forward,28
406,"€7.50m","Tarik Tissoudali","KAA Gent",Morocco,Centre-Forward,29
407,"€7.50m","Eden Hazard","Real Madrid",Belgium,"Left Winger",31
408,"€7.00m","David Datro Fofana","Chelsea FC","Cote d'Ivoire",Centre-Forward,20
409,"€7.00m","Abdallah Sima","Angers SCO",Senegal,"Right Winger",21
410,"€7.00m","Matheus Nascimento","Botafogo de Futebol e Regatas",Brazil,Centre-Forward,18
411,"€7.00m","Samuel Edozie","Southampton FC",England,"Left Winger",19
412,"€7.00m",Wesley,"Cruzeiro Esporte Clube",Brazil,"Left Winger",23
413,"€7.00m","Matheus Martins","Watford FC",Brazil,"Left Winger",19
414,"€7.00m","Daryl Dike","West Bromwich Albion","United States",Centre-Forward,22
415,"€7.00m","Rodri Sánchez","Real Betis Balompié",Spain,"Left Winger",22
416,"€7.00m","Nathan Ngoumou","Borussia Mönchengladbach",France,"Right Winger",22
417,"€7.00m","Tiago Tomás","VfB Stuttgart",Portugal,Centre-Forward,20
418,"€7.00m","Liam Delap","Stoke City",England,Centre-Forward,19
419,"€7.00m","Hugo Duro","Valencia CF",Spain,Centre-Forward,23
420,"€7.00m","Lassina Traoré","Shakhtar Donetsk","Burkina Faso",Centre-Forward,21
421,"€7.00m","Amad Diallo","Sunderland AFC","Cote d'Ivoire","Right Winger",20
422,"€7.00m","Konstantin Tyukavin","Dynamo Moscow",Russia,Centre-Forward,20
423,"€7.00m","Liel Abada","Celtic FC",Israel,"Right Winger",21
424,"€7.00m","Sergio Camello","Rayo Vallecano",Spain,Centre-Forward,21
425,"€7.00m","Esequiel Barco","CA River Plate",Argentina,"Left Winger",23
426,"€7.00m","Christos Tzolis","Twente Enschede FC",Greece,"Left Winger",20
427,"€7.00m",Paulinho,"Bayer 04 Leverkusen",Brazil,"Left Winger",22
428,"€7.00m","Javi Puado","RCD Espanyol Barcelona",Spain,"Left Winger",24
429,"€7.00m","Brandon Vazquez","FC Cincinnati","United States",Centre-Forward,24
430,"€7.00m","Eldor Shomurodov","AS Roma",Uzbekistan,Centre-Forward,27
431,"€7.00m","Shamar Nicholson","Spartak Moscow",Jamaica,Centre-Forward,25
432,"€7.00m","Simon Banza","SC Braga",France,Centre-Forward,26
433,"€7.00m","Abel Ruiz","SC Braga",Spain,Centre-Forward,22
434,"€7.00m","Reiss Nelson","Arsenal FC",England,"Right Winger",23
435,"€7.00m","Yeferson Soteldo","Santos FC",Venezuela,"Left Winger",25
436,"€7.00m","Toni Martínez","FC Porto",Spain,Centre-Forward,25
437,"€7.00m","Milot Rashica",Galatasaray,Kosovo,"Right Winger",26
438,"€7.00m","Adam Buksa","RC Lens",Poland,Centre-Forward,26
439,"€7.00m","Cristian Arango","Los Angeles FC",Colombia,Centre-Forward,27
440,"€7.00m","Antonio Sanabria","Torino FC",Paraguay,Centre-Forward,26
441,"€7.00m","Nicolás López","Tigres UANL",Uruguay,Centre-Forward,29
442,"€7.00m","Adnan Januzaj","Sevilla FC",Belgium,"Right Winger",27
443,"€7.00m","Viktor Claesson","FC Copenhagen",Sweden,"Left Winger",31
444,"€7.00m",Suso,"Sevilla FC",Spain,"Right Winger",29
445,"€7.00m","Joshua King",Fenerbahce,Norway,Centre-Forward,30
446,"€7.00m","Iago Aspas","Celta de Vigo",Spain,Centre-Forward,35
447,"€7.00m","Dusan Tadić","Ajax Amsterdam",Serbia,"Left Winger",34
448,"€6.50m","Pablo Solari","CA River Plate",Argentina,"Right Winger",21
449,"€6.50m","Exequiel Zeballos","CA Boca Juniors",Argentina,"Left Winger",20
450,"€6.50m","Dion Drena Beljo","NK Osijek",Croatia,Centre-Forward,20
451,"€6.50m","Francis Amuzu","RSC Anderlecht",Belgium,"Left Winger",23
452,"€6.50m","Dániel Sallói","Sporting Kansas City",Hungary,"Left Winger",26
453,"€6.00m","Luca Langoni","CA Boca Juniors",Argentina,"Right Winger",20
454,"€6.00m",Sávio,"PSV Eindhoven",Brazil,"Right Winger",18
455,"€6.00m","Luis Henrique","Botafogo de Futebol e Regatas",Brazil,"Left Winger",21
456,"€6.00m",Ferreira,"Grêmio Foot-Ball Porto Alegrense",Brazil,"Left Winger",25
457,"€6.00m","Santiago Simón","CA River Plate",Argentina,"Right Winger",20
458,"€6.00m","Simon Adingra","Royale Union Saint Gilloise","Cote d'Ivoire","Left Winger",21
459,"€6.00m","Igor Paixão","Feyenoord Rotterdam",Brazil,"Left Winger",22
460,"€6.00m","Jhon Durán","Chicago Fire FC",Colombia,Centre-Forward,19
461,"€6.00m","Ander Barrenetxea","Real Sociedad",Spain,"Left Winger",21
462,"€6.00m",Lázaro,"UD Almería",Brazil,"Left Winger",20
463,"€6.00m","Mohamed Daramy","FC Copenhagen",Denmark,"Left Winger",20
464,"€6.00m","Lorenzo Lucca","Ajax Amsterdam",Italy,Centre-Forward,22
465,"€6.00m","Nico Melamed","RCD Espanyol Barcelona",Spain,"Left Winger",21
466,"€6.00m","Kamal Sowah","Club Brugge KV",Ghana,"Right Winger",22
467,"€6.00m","Santiago Giménez","Feyenoord Rotterdam",Mexico,Centre-Forward,21
468,"€6.00m","Jackson Muleka","Besiktas JK","DR Congo",Centre-Forward,23
469,"€6.00m","Pedro Raul","Club de Regatas Vasco da Gama",Brazil,Centre-Forward,26
470,"€6.00m","Walid Cheddira","SSC Bari",Morocco,Centre-Forward,24
471,"€6.00m","Enzo Copetti","Racing Club",Argentina,Centre-Forward,26
472,"€6.00m","Sebastián Villa","CA Boca Juniors",Colombia,"Left Winger",26
473,"€6.00m","Kyogo Furuhashi","Celtic FC",Japan,Centre-Forward,27
474,"€6.00m","Mostafa Mohamed","FC Nantes",Egypt,Centre-Forward,25
475,"€6.00m","Junior Messias","AC Milan",Brazil,"Right Winger",31
476,"€6.00m","Omar Marmoush","VfL Wolfsburg",Egypt,"Left Winger",23
477,"€6.00m","Luiz Araújo","Atlanta United FC",Brazil,"Right Winger",26
478,"€6.00m","Julián Quiñones","Atlas Guadalajara",Colombia,Centre-Forward,25
479,"€6.00m","Diego Valoyes","Club Atlético Talleres",Colombia,"Right Winger",26
480,"€6.00m",Helinho,"Red Bull Bragantino",Brazil,"Right Winger",22
481,"€6.00m","Sekou Koita","Red Bull Salzburg",Mali,Centre-Forward,23
482,"€6.00m","Óscar Estupiñán","Hull City",Colombia,Centre-Forward,26
483,"€6.00m","Henry Onyekuru","Adana Demirspor",Nigeria,"Left Winger",25
484,"€6.00m","Matías Vargas","Shanghai Port",Argentina,"Left Winger",25
485,"€6.00m","Joël Piroe","Swansea City",Netherlands,Centre-Forward,23
486,"€6.00m","Jesús Medina","CSKA Moscow",Paraguay,"Right Winger",25
487,"€6.00m","Rubén Vargas","FC Augsburg",Switzerland,"Left Winger",24
488,"€6.00m","Jens Odgaard","AZ Alkmaar",Denmark,Centre-Forward,23
489,"€6.00m","Cyle Larin","Club Brugge KV",Canada,Centre-Forward,27
490,"€6.00m","Grady Diangana","West Bromwich Albion",England,"Right Winger",24
491,"€6.00m","Deniz Undav","Brighton & Hove Albion",Germany,Centre-Forward,26
492,"€6.00m","Mama Baldé","ESTAC Troyes",Guinea-Bissau,Centre-Forward,27
493,"€6.00m","Cyriel Dessers","US Cremonese",Nigeria,Centre-Forward,28
494,"€6.00m","Myrto Uzuni","Granada CF",Albania,"Left Winger",27
495,"€6.00m","Javairô Dilrosun","Feyenoord Rotterdam",Netherlands,"Left Winger",24
496,"€6.00m","Chris Willock","Queens Park Rangers",England,"Left Winger",24
497,"€6.00m","Karlan Grant","West Bromwich Albion",England,Centre-Forward,25
498,"€6.00m","Lewis Morgan","New York Red Bulls",Scotland,"Left Winger",26
499,"€6.00m","Mergim Berisha","FC Augsburg",Germany,Centre-Forward,24
500,"€110.00m","Jude Bellingham","Borussia Dortmund",England,"Central Midfield",19
501,"€110.00m","Phil Foden","Manchester City",England,"Central Midfield",22
502,"€100.00m",Pedri,"FC Barcelona",Spain,"Central Midfield",20
503,"€100.00m","Jamal Musiala","Bayern Munich",Germany,"Attacking Midfield",19
504,"€100.00m","Bukayo Saka","Arsenal FC",England,"Right Midfield",21
505,"€100.00m","Federico Valverde","Real Madrid",Uruguay,"Central Midfield",24
506,"€90.00m",Gavi,"FC Barcelona",Spain,"Central Midfield",18
507,"€90.00m","Aurélien Tchouameni","Real Madrid",France,"Defensive Midfield",22
508,"€80.00m","Declan Rice","West Ham United",England,"Defensive Midfield",23
509,"€80.00m",Rodri,"Manchester City",Spain,"Defensive Midfield",26
510,"€80.00m","Bernardo Silva","Manchester City",Portugal,"Attacking Midfield",28
511,"€80.00m","Joshua Kimmich","Bayern Munich",Germany,"Defensive Midfield",27
512,"€80.00m","Kevin De Bruyne","Manchester City",Belgium,"Attacking Midfield",31
513,"€75.00m","Mason Mount","Chelsea FC",England,"Attacking Midfield",23
514,"€75.00m","Bruno Fernandes","Manchester United",Portugal,"Attacking Midfield",28
515,"€70.00m","Florian Wirtz","Bayer 04 Leverkusen",Germany,"Attacking Midfield",19
516,"€70.00m","Kai Havertz","Chelsea FC",Germany,"Attacking Midfield",23
517,"€70.00m","Nicolò Barella","Inter Milan",Italy,"Central Midfield",25
518,"€65.00m","Leon Goretzka","Bayern Munich",Germany,"Central Midfield",27
519,"€60.00m","Bruno Guimarães","Newcastle United",Brazil,"Defensive Midfield",25
520,"€60.00m","Martin Ødegaard","Arsenal FC",Norway,"Attacking Midfield",24
521,"€60.00m","Sergej Milinković-Savić","SS Lazio",Serbia,"Central Midfield",27
522,"€55.00m","Enzo Fernández","SL Benfica",Argentina,"Central Midfield",21
523,"€55.00m","James Maddison","Leicester City",England,"Attacking Midfield",26
524,"€55.00m",Fabinho,"Liverpool FC",Brazil,"Defensive Midfield",29
525,"€50.00m","Eduardo Camavinga","Real Madrid",France,"Central Midfield",20
526,"€50.00m","Sandro Tonali","AC Milan",Italy,"Defensive Midfield",22
527,"€50.00m","Mikel Merino","Real Sociedad",Spain,"Central Midfield",26
528,"€50.00m","Frenkie de Jong","FC Barcelona",Netherlands,"Central Midfield",25
529,"€50.00m","Marco Verratti","Paris Saint-Germain",Italy,"Central Midfield",30
530,"€50.00m",Casemiro,"Manchester United",Brazil,"Defensive Midfield",30
531,"€45.00m","Matheus Nunes","Wolverhampton Wanderers",Portugal,"Central Midfield",24
532,"€45.00m",Vitinha,"Paris Saint-Germain",Portugal,"Central Midfield",22
533,"€45.00m","Lucas Paquetá","West Ham United",Brazil,"Attacking Midfield",25
534,"€45.00m","Kalvin Phillips","Manchester City",England,"Defensive Midfield",27
535,"€45.00m","Fabián Ruiz","Paris Saint-Germain",Spain,"Central Midfield",26
536,"€45.00m","Lorenzo Pellegrini","AS Roma",Italy,"Attacking Midfield",26
537,"€45.00m","Tomas Soucek","West Ham United","Czech Republic","Defensive Midfield",27
538,"€45.00m","Pierre-Emile Höjbjerg","Tottenham Hotspur",Denmark,"Central Midfield",27
539,"€42.00m","Alexis Mac Allister","Brighton & Hove Albion",Argentina,"Central Midfield",24
540,"€40.00m","Martín Zubimendi","Real Sociedad",Spain,"Defensive Midfield",23
541,"€40.00m","Rodrigo Bentancur","Tottenham Hotspur",Uruguay,"Central Midfield",25
542,"€40.00m","Ismaël Bennacer","AC Milan",Algeria,"Defensive Midfield",25
543,"€40.00m","Dani Olmo","RB Leipzig",Spain,"Attacking Midfield",24
544,"€40.00m","Wilfred Ndidi","Leicester City",Nigeria,"Defensive Midfield",26
545,"€40.00m","Rodrigo de Paul","Atlético de Madrid",Argentina,"Central Midfield",28
546,"€40.00m","Youri Tielemans","Leicester City",Belgium,"Central Midfield",25
547,"€40.00m","Rúben Neves","Wolverhampton Wanderers",Portugal,"Defensive Midfield",25
548,"€40.00m","Nabil Fekir","Real Betis Balompié",France,"Attacking Midfield",29
549,"€40.00m","Piotr Zielinski","SSC Napoli",Poland,"Attacking Midfield",28
550,"€40.00m","Mateo Kovacic","Chelsea FC",Croatia,"Central Midfield",28
551,"€38.00m","Moisés Caicedo","Brighton & Hove Albion",Ecuador,"Central Midfield",21
552,"€38.00m","Emile Smith Rowe","Arsenal FC",England,"Attacking Midfield",22
553,"€38.00m","Frank Anguissa","SSC Napoli",Cameroon,"Defensive Midfield",27
554,"€38.00m","Thomas Partey","Arsenal FC",Ghana,"Defensive Midfield",29
555,"€35.00m","Harvey Elliott","Liverpool FC",England,"Attacking Midfield",19
556,"€35.00m","Giovanni Reyna","Borussia Dortmund","United States","Attacking Midfield",20
557,"€35.00m","Amadou Onana","Everton FC",Belgium,"Defensive Midfield",21
558,"€35.00m","Dominik Szoboszlai","RB Leipzig",Hungary,"Attacking Midfield",22
559,"€35.00m","Douglas Luiz","Aston Villa",Brazil,"Defensive Midfield",24
560,"€35.00m","Edson Álvarez","Ajax Amsterdam",Mexico,"Defensive Midfield",25
561,"€35.00m","Ibrahim Sangaré","PSV Eindhoven","Cote d'Ivoire","Defensive Midfield",25
562,"€35.00m","Carlos Soler","Paris Saint-Germain",Spain,"Central Midfield",26
563,"€35.00m","Franck Kessié","FC Barcelona","Cote d'Ivoire","Central Midfield",26
564,"€35.00m","Marcos Llorente","Atlético de Madrid",Spain,"Central Midfield",27
565,"€35.00m","James Ward-Prowse","Southampton FC",England,"Central Midfield",28
566,"€35.00m","Marcelo Brozovic","Inter Milan",Croatia,"Defensive Midfield",30
567,"€35.00m","Hakan Calhanoglu","Inter Milan",Turkey,"Central Midfield",28
568,"€35.00m","Paul Pogba","Juventus FC",France,"Central Midfield",29
569,"€35.00m",Jorginho,"Chelsea FC",Italy,"Defensive Midfield",31
570,"€32.00m","Conor Gallagher","Chelsea FC",England,"Central Midfield",22
571,"€32.00m","Yves Bissouma","Tottenham Hotspur",Mali,"Central Midfield",26
572,"€32.00m","Harvey Barnes","Leicester City",England,"Left Midfield",25
573,"€32.00m",Joelinton,"Newcastle United",Brazil,"Attacking Midfield",26
574,"€30.00m","Cheick Doucouré","Crystal Palace",Mali,"Defensive Midfield",22
575,"€30.00m","Fábio Vieira","Arsenal FC",Portugal,"Attacking Midfield",22
576,"€30.00m","Eberechi Eze","Crystal Palace",England,"Attacking Midfield",24
577,"€30.00m","Ryan Gravenberch","Bayern Munich",Netherlands,"Central Midfield",20
578,"€30.00m","Charles De Ketelaere","AC Milan",Belgium,"Attacking Midfield",21
579,"€30.00m","Brenden Aaronson","Leeds United","United States","Attacking Midfield",22
580,"€30.00m","Nicolò Zaniolo","AS Roma",Italy,"Attacking Midfield",23
581,"€30.00m","Teun Koopmeiners","Atalanta BC",Netherlands,"Defensive Midfield",24
582,"€30.00m","Daichi Kamada","Eintracht Frankfurt",Japan,"Attacking Midfield",26
583,"€30.00m","Joe Willock","Newcastle United",England,"Central Midfield",23
584,"€30.00m","Scott McTominay","Manchester United",Scotland,"Defensive Midfield",26
585,"€30.00m","Brais Méndez","Real Sociedad",Spain,"Central Midfield",25
586,"€30.00m","Manuel Locatelli","Juventus FC",Italy,"Defensive Midfield",24
587,"€30.00m","N'Golo Kanté","Chelsea FC",France,"Defensive Midfield",31
588,"€30.00m","Thomas Lemar","Atlético de Madrid",France,"Attacking Midfield",27
589,"€30.00m","John McGinn","Aston Villa",Scotland,"Central Midfield",28
590,"€30.00m","Stanislav Lobotka","SSC Napoli",Slovakia,"Defensive Midfield",28
591,"€30.00m","Seko Fofana","RC Lens","Cote d'Ivoire","Central Midfield",27
592,"€28.00m","Jesper Lindström","Eintracht Frankfurt",Denmark,"Attacking Midfield",22
593,"€28.00m","Jacob Ramsey","Aston Villa",England,"Central Midfield",21
594,"€28.00m","Tanguy Ndombélé","SSC Napoli",France,"Central Midfield",26
595,"€28.00m","Guido Rodríguez","Real Betis Balompié",Argentina,"Defensive Midfield",28
596,"€28.00m","Denzel Dumfries","Inter Milan",Netherlands,"Right Midfield",26
597,"€28.00m","João Palhinha","Fulham FC",Portugal,"Defensive Midfield",27
598,"€28.00m","Konrad Laimer","RB Leipzig",Austria,"Central Midfield",25
599,"€28.00m","Julian Brandt","Borussia Dortmund",Germany,"Attacking Midfield",26
600,"€28.00m","Granit Xhaka","Arsenal FC",Switzerland,"Defensive Midfield",30
601,"€27.00m","Orkun Kökcü","Feyenoord Rotterdam",Turkey,"Central Midfield",22
602,"€25.00m",Danilo,"Sociedade Esportiva Palmeiras",Brazil,"Defensive Midfield",21
603,"€25.00m","Roméo Lavia","Southampton FC",Belgium,"Defensive Midfield",18
604,"€25.00m","Manu Koné","Borussia Mönchengladbach",France,"Central Midfield",21
605,"€25.00m","Youssouf Fofana","AS Monaco",France,"Central Midfield",23
606,"€25.00m","Mohamed Camara","AS Monaco",Mali,"Defensive Midfield",22
607,"€25.00m","Yunus Musah","Valencia CF","United States","Central Midfield",20
608,"€25.00m","Hugo Guillamón","Valencia CF",Spain,"Defensive Midfield",22
609,"€25.00m","Mattéo Guendouzi","Olympique Marseille",France,"Central Midfield",23
610,"€25.00m","Khéphren Thuram","OGC Nice",France,"Defensive Midfield",21
611,"€25.00m","Morgan Gibbs-White","Nottingham Forest",England,"Attacking Midfield",22
612,"€25.00m","Maxence Caqueret","Olympique Lyon",France,"Central Midfield",22
613,"€25.00m","Boubacar Kamara","Aston Villa",France,"Defensive Midfield",23
614,"€25.00m","Pablo Fornals","West Ham United",Spain,"Attacking Midfield",26
615,"€25.00m","Boubakary Soumaré","Leicester City",France,"Defensive Midfield",23
616,"€25.00m","Sofyan Amrabat","ACF Fiorentina",Morocco,"Defensive Midfield",26
617,"€25.00m","Renato Sanches","Paris Saint-Germain",Portugal,"Central Midfield",25
618,"€25.00m","Alex Iwobi","Everton FC",Nigeria,"Attacking Midfield",26
619,"€25.00m","Mario Pasalic","Atalanta BC",Croatia,"Attacking Midfield",27
620,"€25.00m","Ruben Loftus-Cheek","Chelsea FC",England,"Central Midfield",26
621,"€25.00m","Adrien Rabiot","Juventus FC",France,"Central Midfield",27
622,"€25.00m","Christian Eriksen","Manchester United",Denmark,"Attacking Midfield",30
623,"€25.00m","Ilkay Gündogan","Manchester City",Germany,"Central Midfield",32
624,"€24.00m","Filip Kostić","Juventus FC",Serbia,"Left Midfield",30
625,"€23.00m","Eljif Elmas","SSC Napoli","North Macedonia","Attacking Midfield",23
626,"€22.00m","Michael Olise","Crystal Palace",France,"Right Midfield",21
627,"€22.00m",Pepê,"FC Porto",Brazil,"Left Midfield",25
628,"€22.00m",Wendel,"Zenit St. Petersburg",Brazil,"Central Midfield",25
629,"€22.00m","Curtis Jones","Liverpool FC",England,"Central Midfield",21
630,"€22.00m","Davide Frattesi","US Sassuolo",Italy,"Central Midfield",23
631,"€22.00m","Ryan Sessegnon","Tottenham Hotspur",England,"Left Midfield",22
632,"€22.00m","Hamed Junior Traorè","US Sassuolo","Cote d'Ivoire","Attacking Midfield",22
633,"€22.00m","Lovro Majer","Stade Rennais FC",Croatia,"Attacking Midfield",24
634,"€22.00m","Giovani Lo Celso","Villarreal CF",Argentina,"Central Midfield",26
635,"€22.00m","Sean Longstaff","Newcastle United",England,"Central Midfield",25
636,"€22.00m","Aleksandr Golovin","AS Monaco",Russia,"Attacking Midfield",26
637,"€22.00m","Xaver Schlager","RB Leipzig",Austria,"Central Midfield",25
638,"€22.00m","Djibril Sow","Eintracht Frankfurt",Switzerland,"Central Midfield",25
639,"€22.00m","Leander Dendoncker","Aston Villa",Belgium,"Defensive Midfield",27
640,"€21.00m","Weston McKennie","Juventus FC","United States","Central Midfield",24
641,"€20.00m",Éderson,"Atalanta BC",Brazil,"Central Midfield",23
642,"€20.00m","Oihan Sancet","Athletic Bilbao",Spain,"Central Midfield",22
643,"€20.00m","Fábio Carvalho","Liverpool FC",Portugal,"Attacking Midfield",20
644,"€20.00m","Mohammed Kudus","Ajax Amsterdam",Ghana,"Attacking Midfield",22
645,"€20.00m","Luka Sucic","Red Bull Salzburg",Croatia,"Attacking Midfield",20
646,"€20.00m","Kiernan Dewsbury-Hall","Leicester City",England,"Central Midfield",24
647,"€20.00m","Andreas Skov Olsen","Club Brugge KV",Denmark,"Right Midfield",23
648,"€20.00m","Nicolas Seiwald","Red Bull Salzburg",Austria,"Central Midfield",21
649,"€20.00m","Houssem Aouar","Olympique Lyon",France,"Central Midfield",24
650,"€20.00m","Denis Zakaria","Chelsea FC",Switzerland,"Defensive Midfield",26
651,"€20.00m","Christoph Baumgartner","TSG 1899 Hoffenheim",Austria,"Attacking Midfield",23
652,"€20.00m","Brahim Díaz","AC Milan",Spain,"Attacking Midfield",23
653,"€20.00m","Naby Keïta","Liverpool FC",Guinea,"Central Midfield",27
654,"€20.00m","Nikola Vlasic","Torino FC",Croatia,"Attacking Midfield",25
655,"€20.00m","Donny van de Beek","Manchester United",Netherlands,"Central Midfield",25
656,"€20.00m","Florian Neuhaus","Borussia Mönchengladbach",Germany,"Central Midfield",25
657,"€20.00m","Miguel Almirón","Newcastle United",Paraguay,"Attacking Midfield",28
658,"€20.00m","Wilmar Barrios","Zenit St. Petersburg",Colombia,"Defensive Midfield",29
659,"€20.00m","Hakim Ziyech","Chelsea FC",Morocco,"Attacking Midfield",29
660,"€20.00m","Bryan Cristante","AS Roma",Italy,"Defensive Midfield",27
661,"€20.00m",Fred,"Manchester United",Brazil,"Central Midfield",29
662,"€20.00m","Geoffrey Kondogbia","Atlético de Madrid","Central African Republic","Defensive Midfield",29
663,"€20.00m","Marcel Sabitzer","Bayern Munich",Austria,"Central Midfield",28
664,"€20.00m","Sergio Canales","Real Betis Balompié",Spain,"Attacking Midfield",31
665,"€20.00m","Toni Kroos","Real Madrid",Germany,"Central Midfield",32
666,"€19.00m","Giorgian de Arrascaeta","CR Flamengo",Uruguay,"Attacking Midfield",28
667,"€18.00m","Xavi Simons","PSV Eindhoven",Netherlands,"Attacking Midfield",19
668,"€18.00m","Nuno Tavares","Olympique Marseille",Portugal,"Left Midfield",22
669,"€18.00m","Manuel Ugarte","Sporting CP",Uruguay,"Defensive Midfield",21
670,"€18.00m",Claudinho,"Zenit St. Petersburg",Brazil,"Attacking Midfield",25
671,"€18.00m","Tommaso Pobega","AC Milan",Italy,"Central Midfield",23
672,"€18.00m","Arthur Melo","Liverpool FC",Brazil,"Central Midfield",26
673,"€18.00m",Gerson,"Olympique Marseille",Brazil,"Attacking Midfield",25
674,"€18.00m","Philip Billing","AFC Bournemouth",Denmark,"Central Midfield",26
675,"€18.00m","Robin Gosens","Inter Milan",Germany,"Left Midfield",28
676,"€18.00m","Benjamin Bourigeaud","Stade Rennais FC",France,"Right Midfield",28
677,"€18.00m","Ruslan Malinovskyi","Atalanta BC",Ukraine,"Attacking Midfield",29
